// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

1982,507,100// 범상치 않은 자의 채찍
1983,507,100// 란테
1986,499,100// P.테일Ⅰ
1987,499,100// TE 공성 로프
1994,467,100// 무한의 채찍
2002,499,100// 글로리어스 파괴지팡이
2003,475,100// 스태프 오브 디스트럭션
2018,499,100// 메탈 스태프
2019,499,100// TE 공성 투핸드 스태프
2024,467,100// 무한의 양손 지팡이
2112,499,100// 초보자용 가드
2127,475,100// 슬리퍼의 사자
2132,507,100// 쉘터 오브 레지스턴스
2136,507,100// 흠집난 버클러
2137,507,100// 발키리아 쉴드
2140,507,100// 에너지 룬 가드
2145,467,100// 시간의 수호자 쉴드
2152,507,100// 안티 데몬 쉴드
2178,499,100// TE 공성 버클러
2179,499,100// TE 공성 쉴드
2180,499,100// TE 공성 매직가드
2352,499,100// 초보자용 닌자 누더기
2358,475,100// 천사의 예복
2368,467,100// Golden Armor
2369,507,100// 프레이야의 외투
2370,475,100// 유성 매직코트
2376,499,100// 돌격대장의 플레이트
2377,499,100// 정예공병의 갑옷
2378,499,100// 암살자의 로브
2379,499,100// 워락의 전투로브
2380,499,100// 위생병의 로브
2381,499,100// 정예궁병의 슈츠
2382,499,100// 정예사수의 슈츠
2384,507,100// 스피리츄얼 튜닉
2385,507,100// 리큐퍼레이티브 아머
2392,507,100// 오래된 팬티
2393,499,100// 초보자용 어드밴쳐러 슈츠
2394,499,100// 글로리어스 슈트
2395,499,100// 글로리어스 양산형 슈트
2396,499,100// 글로리어스 보급용 슈트
2398,475,100// 스나이핑 슈츠
2414,499,100// 초보자용 해변 샌들
2427,467,100// Golden Shoes
2428,507,100// 프레이야의 장화
2429,499,100// 쇠로 만든 신발
2430,499,100// 쇠로 만든 신발
2431,475,100// 발위에 슈즈
2435,499,100// 전투 그리브
2436,499,100// 군화
2437,499,100// 전투 부츠
2438,467,100// 고양이의 발
2439,507,100// 리프레쉬 슈즈
2442,507,100// 구멍난 부츠
2443,499,100// 낚시장화
2444,499,100// 글로리어스 슈즈
2445,499,100// 글로리어스 양산형 슈즈
2446,499,100// 글로리어스 보급용 슈즈
2449,475,100// 배리언트 슈즈
2455,467,100// 시간의 수호자 부츠
2456,499,100// 낙원단 부츠Ⅰ
2457,499,100// 낙원단 부츠Ⅱ
2458,499,100// 낙원단 부츠Ⅲ
2463,507,100// 야성의 부츠
2473,499,100// 낙원단 부츠Ⅳ
2496,499,100// TE 공성 슈즈
2497,499,100// TE 공성 부츠
2498,499,100// TE 공성 마법샌들
2510,499,100// 초보자용 음침한 후드
2533,507,100// 프레이야의 망토
2534,475,100// 옷플러
2535,507,100// 생존의 망토
2538,499,100// 사령관의 망토
2539,499,100// 지휘관의 망토
2540,499,100// 보안관의 망토
2543,507,100// 실피드 망토
2547,507,100// 싸구려 런닝셔츠
2548,507,100// 머플러
2549,499,100// 글로리어스 머플러
2551,475,100// 라이더 휘장
2552,475,100// 미스릴 마법망토
2559,467,100// 시간의 수호자 망토
2560,499,100// 낙원단 망토
2564,507,100// 야성의 꼬리
2566,507,100// 아스프리카(체험판)
2568,467,100// 로키의 머플러
2571,499,100// 낙원단 망토Ⅱ
2634,507,100// 결혼반지
2635,507,100// 결혼반지
2642,507,100// 세린의 금반지
2644,507,100// 더 사인
2647,507,100// 나일로즈
2668,499,100// 여성의 영광
2670,475,100// 그리움의 반지
2673,507,100// 용사의 빛나는 반지
2674,507,100// 명예의 반지
2676,507,100// 헌터 이어링
2681,507,100// 공화국 기념일 반지
2686,507,100// 요정의 귀
2686,475,100// 요정의 귀
2687,507,100// 강철의 꽃잎
2688,507,100// 크리티컬링
2689,507,100// 이어링
2690,507,100// 링
2691,507,100// 네클리스
2692,507,100// 글러브
2693,507,100// 브로치
2694,507,100// 로자리
2695,507,100// 세이프티링
2696,507,100// 베스퍼코어01
2697,507,100// 베스퍼코어02
2698,507,100// 베스퍼코어03
2699,507,100// 베스퍼코어04
2704,467,100// Golden accesories
2705,467,100// Golden accesories
2706,507,100// 구속수갑
2707,475,100// GUSLI
2708,475,100// 중국제수공품
2709,507,100// G10주년 코인
2710,507,100// 피묻은 철구
2711,507,100// 스피리츄얼 링
2713,507,100// 수행 증명서
2720,499,100// 무공훈장
2721,499,100// 무공훈장
2722,499,100// 무공훈장
2723,499,100// 무공훈장
2724,499,100// 무공훈장
2725,499,100// 무공훈장
2730,467,100// 컨티넨탈 가드의 인장
2731,467,100// 룬문자 주문석
2732,467,100// 죽음의 고리
2733,499,100// 보안관 뱃지
2734,507,100// 임무명령서
2735,507,100// 임무명령서
2738,507,100// 반짝이는 기념주화
2739,507,100// 일반 기념주화
2740,507,100// 녹슨 기념주화
2741,507,100// 올인원 반지
2742,507,100// 행운의 클립
2750,507,100// 한 여름 밤의 꿈
2751,467,100// 수습 마법사의 뱃지
2752,507,100// 프락시너스
2753,507,100// 비홀더 링
2754,507,100// 핼로우 링
2755,507,100// 클래머러스 링
2756,507,100// 케미컬 링
2757,507,100// 인섹티사이드 링
2758,507,100// 피셔 링
2759,507,100// 디커세이트 링
2760,507,100// 블러디 링
2761,507,100// 사타닉 링
2762,507,100// 드라군 링
2763,507,100// 해골반지
2766,499,100// 검사 피규어
2767,499,100// 복사 피규어
2768,499,100// 마법사 피규어
2769,499,100// 궁수 피규어
2770,499,100// 도둑 피규어
2771,499,100// 상인 피규어
2772,499,100// 글로리어스 링
2773,499,100// 글로리어스 양산형 링
2774,499,100// 글로리어스 보급용 링
2777,1,100// 샤먼 링
2778,1,100// 샤먼 이어링
2779,1,100// 다크나이트 벨트 A
2780,1,100// 다크나이트 글로브 A
2781,1,100// 아우둠라의 혜택
2782,475,100// 지혜의 왕의 반지
2785,475,100// 오를레앙의 장갑
2792,507,100// 링 오브 플레임로드
2793,507,100// 링 오브 레조넌스
2794,507,100// 마력석 반지
2795,499,100// 풋사과 반지
2796,507,100// 마력 깃든 돌
2797,507,100// 마력 깃든 돌
2798,499,100// 지친 전사의 의지
2816,507,100// 레이더링
2817,507,100// 레이더링
2818,507,100// 레이더링
2819,499,100// 검사 입문서
2820,499,100// 도둑 입문서
2821,499,100// 복사 입문서
2822,499,100// 궁수 입문서
2823,499,100// 상인 입문서
2823,499,100// 상인 입문서
2824,499,100// 마술사 입문서
2825,1,100// 샤먼 이어링 B
2826,1,100// 다크나이트 벨트 B
2827,1,100// 다크나이트 글로브 B
2832,507,100// 프레이야의 반지
2841,507,100// 카라카스의 반지
2843,507,100// 황금 방울
2844,475,100// 엘 디카스테스의 빛
2856,507,100// 메긴기오르드(체험판)
2857,507,100// 브리싱가멘(체험판)
2858,475,100// 수호자의 펜던트
2863,507,100// 발키리의 반지
2864,499,100// 치유의 빛
2865,499,100// 대성당의 인장
2866,499,100// 대주교의 반지
2872,475,100// 냥이 게이머즈 증표
2875,475,100// 그레이트풀 반지
2885,507,100// 어머니의 마음
2885,499,100// 어머니의 마음
2897,475,100// RWC목걸이
2915,467,100// 에뜰랑의 유품
2916,475,100// 요정의 날개
2940,499,100// 닌자 입문서
2941,499,100// 건슬링거 입문서
2942,499,100// 태권 입문서
2944,499,100// TE 수호의 반지
2945,499,100// TE 분노의 반지
2946,499,100// TE 반항의 반지
2950,507,100// 룬의 반지
2981,467,100// 용사의 반지
2997,475,100// RWC 금브로치
2999,475,100// RWC 은브로치
5106,467,100// G10주년 꼬깔모자
5132,475,100// 엔젤링 모자
5147,507,100// 야구모자
5149,499,100// 실버티아라
5154,475,100// 아버지의 선글래스
5155,475,100// 아버지의 흰수염
5156,475,100// 아버지의 마스크
5179,499,100// 골드티아라
5254,475,100// 데빌링 모자
5265,507,100// 명사수의 사과
5266,507,100// 토끼머리띠
5267,507,100// 삿갓
5268,507,100// 로드서클릿
5269,507,100// 비상하는 천사
5279,507,100// 늘어진 고양이
5280,507,100// 마제스틱 고우트
5281,507,100// 새끼 악마모자
5286,507,100// 페코페코 머리띠
5288,507,100// 빨간 안경
5293,507,100// 라면 모자
5294,507,100// 위스퍼 마스크
5295,467,100// Golden Bandana
5306,507,100// 프레이야의 크라운
5308,475,100// 브라질 국기모자
5309,475,100// 모히칸 가면
5314,507,100// 하키 마스크
5315,507,100// 옵저버
5318,467,100// 포링 파티모자
5320,475,100// 챔피언의 월계관
5322,475,100// 스카프
5323,475,100// 미스트렌스 왕관
5326,507,100// 나비 가면
5327,507,100// 오크히어로의 투구
5328,507,100// 악마의 날개
5329,507,100// 검은 눈가리개
5330,507,100// 늘어진 고양이
5331,507,100// 커세어
5336,507,100// 길드원 모집 광고판
5337,507,100// 파티원 모집 광고판
5338,507,100// 남친 구함! 광고판
5339,507,100// 친구 모집 광고판
5346,507,100// 여친 구함! 광고판
5357,475,100// 승리의 날개
5368,475,100// 빛의 날개
5369,475,100// 어둠의 날개
5391,507,100// 토스트
5394,507,100// 맛있는 풍선껌
5406,467,100// 성직자학교 졸업모
5407,467,100// 마법학교 졸업모
5408,507,100// 낡은 두건
5410,499,100// 갈색 종이봉투 모자
5412,467,100// 달콤한 사탕
5413,467,100// 팝콘 모자
5414,467,100// 캠프파이어 모자
5423,9,100// I LOVE CHINA
5428,475,100// RWC 기념 빵봉투
5430,1,100// 성화관
5450,475,100// 태양모자
5451,475,100// RWC 우승자 전용투구
5451,475,100// RWC 우승자 전용투구
5452,475,100// RWC 준우승자 전용투구
5452,475,100// RWC 준우승자 전용투구
5453,475,100// RWC 3등 전용투구
5453,475,100// RWC 3등 전용투구
5460,499,100// 진화된 용의 해골
5461,499,100// 진화된 위스퍼 마스크
5462,507,100// 대못박힌 스카프
5463,507,100// 무지개 스카프
5479,1,100// 샤먼의 머리장식
5480,1,100// 비조프닐의 날개장식
5481,1,100// 헤르모즈 캡
5482,1,100// 다크나이트 마스크 A
5483,1,100// 오딘 마스크
5492,507,100// 학생모
5493,507,100// 울캡
5494,507,100// 스핑크스 모자
5521,507,100// 분노한 입
5536,507,100// 크리스마스 카드
5544,467,100// 시간의 수호자 모자
5551,499,100// 성스러운 달걀 모자
5577,1,100// 다크나이트 마스크 B
5583,499,100// 낙원단 모자
5587,499,100// 모기향 1회용
5592,475,100// 사이그룬의 날개
5596,507,100// 입에 문 네잎클로버
5597,507,100// 입에 문 풍선껌
5603,475,100// RWC여신상(우승자)
5604,475,100// RWC여신상(준우승자)
5605,475,100// RWC여신상(3등)
5668,499,100// 묘한 호박모자
5746,467,100// 룬 서클릿
5747,467,100// 미트라
5748,467,100// 스나이퍼 고글
5749,467,100// 드라이버 밴드
5750,467,100// 그림자 공작
5751,467,100// 민스트럴 송의 모자
5752,467,100// 마이더스의 속삭임
5753,467,100// 마력의 돌 모자
5754,467,100// 불타는 혼
5755,467,100// 침묵의 집행자
5756,467,100// 바람의 속삭임
5757,467,100// 복각 슈미츠의 투구
5758,467,100// 빈사의 백조
5760,467,100// 드라이버 밴드
5786,475,100// 고대요정의 귀
5788,475,100// 3D안경
5793,507,100// 생명의 리본
5794,507,100// 3D안경
5796,499,100// 응원 스카프
5797,507,100// 응원 스카프Ⅱ
5798,507,100// 응원 스카프Ⅲ
5799,507,100// 응원 스카프Ⅳ
5805,475,100// 승리자의 머리장식품
5806,475,100// 시인 나탈리아의 모자
5809,467,100// 붐붐모자
5812,507,100// 물 전문가의 모자
5814,499,100// Ati Atihan Hat3
5817,507,100// 발렌타인의 증표
5818,507,100// 카니발 축제 모자
5819,507,100// 카니발 축제 서클릿
5820,467,100// 검은 요정의 귀
5821,467,100// 황금 튤립머리핀
5822,499,100// 사랑의 병아리 모자
5823,467,100// 사랑의 화살
5855,499,100// 낚시대
5864,475,100// 쉐도우 부스터
6000,475,100// 어둠의 재
6005,467,100// 새해 떡
6006,499,100// 배달용 떡 상자
6007,499,100// 새해 떡국
6009,499,100// 마력의 대형부채
6024,8,100// 17캐럿 다이아몬드
6025,507,100// 추억의 수건
6026,475,100// 혼인 서약서
6027,507,100// 피 묻은 어둠의 결정체
6028,507,100// 봉인된 마법주문서
6029,507,100// 모로크 추적일지
6034,507,100// 기묘한 부품
6035,507,100// 썩어가는 식물 줄기
6036,499,100// 회의 참가 요청서
6037,507,100// 엉성한 서류철
6038,499,100// 깔끔한 보고서
6039,499,100// 생선 토막
6040,499,100// 흩어진 보고서의 일부
6042,499,100// 평범한 나뭇가지
6043,499,100// 루겐의 편지
6044,499,100// 오토의 편지
6045,499,100// 배급상자
6046,475,100// 옷염색 쿠폰
6047,475,100// 옷염색 쿠폰 Ⅱ
6048,499,100// 미확인 광석
6049,499,100// 청새치
6050,475,100// 용병 계약서
6051,499,100// 잿빛의 공허
6052,507,100// 비녀
6060,499,100// 달 관람 티켓
6070,475,100// 샤먼의 고문서
6071,475,100// 부러진 검
6072,475,100// 비조프닐의 날개
6074,499,100// 바젯의 비밀노트
6076,507,100// 휴대용 도구상자
6077,507,100// 정제되지 않은 광석
6078,507,100// 돌 부스러기
6079,507,100// 알프헤임의 꽃
6080,507,100// 마누크 주화
6081,507,100// 스플랑디드 주화
6082,507,100// 알프헤임의 영혼
6084,507,100// 브라디움 파편
6085,507,100// 낡은 머플러
6093,499,100// 드라코의 알
6101,499,100// 출석표
6102,507,100// 스플랑디드 보고서
6103,507,100// 마누크 보고서
6116,507,100// 큐펫 서큐버스 교환쿠폰
6117,507,100// 큐펫 임프 교환쿠폰
6118,507,100// 큐펫 청이 교환쿠폰
6121,507,100// 분장용 붓
6122,507,100// 페인트 붓
6124,507,100// 늑대 피리
6125,507,100// Spring Time Box
6126,507,100// Summer Happy Box
6127,507,100// 정화석
6129,475,100// 큐펫 나이트메어 교환쿠폰
6129,507,100// 큐펫 나이트메어 교환쿠폰
6130,507,100// 큐펫 로리루리 교환쿠폰
6131,475,100// 큐펫 고블린리더 교환쿠폰
6131,475,100// 큐펫 고블린리더 교환쿠폰
6131,475,100// 큐펫 고블린리더 교환쿠폰
6132,507,100// 큐펫 인큐버스 교환쿠폰
6133,507,100// 큐펫 미야비인형 교환쿠폰
6134,507,100// 큐펫 위스퍼 교환쿠폰
6135,507,100// 큐펫 요선녀 교환쿠폰
6136,507,100// 큐펫 메두사 교환쿠폰
6136,475,100// 큐펫 메두사 교환쿠폰
6137,507,100// 큐펫 스톤슈터 교환쿠폰
6138,507,100// 큐펫 마리오네트 교환쿠폰
6139,507,100// 큐펫 리프캣 교환쿠폰
6140,507,100// 큐펫 듀라한 교환쿠폰
6141,507,100// 큐펫 시노비 교환쿠폰
6142,507,100// 큐펫 고렘 교환쿠폰
6142,475,100// 큐펫 고렘 교환쿠폰
6143,507,100// 큐펫 묘괴 교환쿠폰
6143,475,100// 큐펫 묘괴 교환쿠폰
6148,499,100// 영원의 초콜렛
6149,499,100// 소박한 초콜렛
6150,507,100// 저택의 열쇠
6151,499,100// 거대한 브라디움 조각
6152,499,100// 빛나는 수정
6153,507,100// 특별한 교환티켓
6154,499,100// 조각난 뿔피리
6156,499,100// 결제를 기다리는 보고서
6157,475,100// 큐펫 포링 교환쿠폰
6158,475,100// 큐펫 드롭프스 교환쿠폰
6159,475,100// 큐펫 포포링 교환쿠폰
6160,475,100// 큐펫 루나틱 교환쿠폰
6161,475,100// 큐펫 픽키 교환쿠폰
6162,475,100// 큐펫 페코페코 교환쿠폰
6163,475,100// 큐펫 세비지베베 교환쿠폰
6164,475,100// 큐펫 스포아 교환쿠폰
6165,475,100// 큐펫 포이즌스포아 교환쿠폰
6166,475,100// 큐펫 촌촌 교환쿠폰
6167,475,100// 큐펫 스틸촌촌 교환쿠폰
6168,475,100// 큐펫 쁘띠 교환쿠폰
6169,475,100// 큐펫 데비루치 교환쿠폰
6170,475,100// 큐펫 이시스 교환쿠폰
6171,475,100// 큐펫 스모키 교환쿠폰
6172,475,100// 큐펫 도깨비 교환쿠폰
6173,475,100// 큐펫 새끼데저트울프 교환쿠폰
6174,475,100// 큐펫 요요 교환쿠폰
6175,475,100// 큐펫 소희 교환쿠폰
6176,475,100// 큐펫 로커 교환쿠폰
6177,475,100// 큐펫 헌터플라이 교환쿠폰
6178,475,100// 큐펫 오크워리어 교환쿠폰
6179,475,100// 큐펫 바포메트주니어 교환쿠폰
6180,475,100// 쿠펫 무낙 교환쿠폰
6181,475,100// 큐펫 본건 교환쿠폰
6182,475,100// 큐펫 크리스마스고블린 교환쿠폰
6183,475,100// 큐펫 떡 교환쿠폰
6184,475,100// 큐펫 지르타스 교환 티켓
6184,475,100// 큐펫 지르타스 교환 티켓
6185,475,100// 큐펫 앨리스 교환쿠폰
6206,499,100// 사랑합니다
6207,499,100// 감사합니다
6208,499,100// 존경합니다
6218,507,100// 다이신 택배 상자
6219,507,100// 낙원단의 증표
6225,475,100// 고밀도 카르늄
6226,475,100// 고밀도 브라디움
6228,475,100// 무기 9 제련 보장권
6229,475,100// 무기 8 제련 보장권
6230,475,100// 무기 7 제련 보장권
6231,475,100// 무기 6 제련 보장권
6232,475,100// 방어구 9 제련 보장권
6233,475,100// 방어구 8 제련 보장권
6234,475,100// 방어구 7 제련 보장권
6235,475,100// 방어구 6 제련 보장권
6236,499,100// 파란 7 카드
6237,507,100// 과라나 열매
6238,475,100// 무기 11 제련 보장권
6239,475,100// 방어구 11 제련 보장권
6240,475,100// 고농축 오리데오콘
6241,475,100// 고농축 에르늄
6242,9,100// 미드가르드 주화
6266,507,100// 기만의 열쇠
6267,507,100// 허상의 열쇠
6268,507,100// 환락의 열쇠
6269,507,100// 명장의 붓
6270,499,100// 민스트렐 송의 사진
6271,499,100// 영수증
6272,507,100// 실험용 씨앗
6273,507,100// 실험용 씨앗
6274,507,100// 성자의 옷조각
6275,507,100// 왕의 방패
6276,507,100// 투명 시약
6277,507,100// 붉은 시약
6278,507,100// 검은 시약
6296,499,100// 예비군 통지서
6298,499,100// 깨진 호박머리
6299,499,100// 너덜한 천조각
6304,475,100// 사파 공훈증
6305,507,100// 얼어붙은 피부조각
6306,507,100// 단단하게 굳은 혈흔
6307,507,100// 수상한 마력의 돌
6308,475,100// 미확인 유물
6320,475,100// 프리미엄 리셋 돌
6327,475,100// (한정)고밀도 브라디움
6345,499,100// 사랑뭉치
6347,499,100// 덕담 종이
6348,499,100// 덕담 종이
6349,499,100// 덕담 종이
6350,499,100// 덕담 종이
6351,499,100// 덕담 종이
6352,499,100// 덕담 종이
6353,499,100// 덕담 종이
6354,499,100// 덕담 종이
6355,499,100// 덕담 종이
6356,499,100// 덕담 종이
6357,499,100// 실패한 포춘쿠키
6358,507,100// 무료캐시 이용권
6359,507,100// 가이드북 교환권
6377,467,100// 구매노점 허가증
6378,499,100// 대전 승리의 증표
6380,467,100// 모라마을 주화
6383,499,100// 로페의 단서
6384,507,100// 로페의 반지
6385,507,100// 연구도구 가방
6386,499,100// 목욕탕 연구 표본
6387,499,100// 이빨 표본
6388,499,100// 비늘 표본
6389,499,100// 웅덩이 연구 표본
6390,499,100// 작은 주머니
6391,499,100// 스플랑디드 보급품
6392,499,100// 브라디움 상자
6396,475,100// 영혼의 송곳
6397,507,100// GM이벤트 응모권
6398,507,100// 고양이손 창고 홍보전단지
6399,507,100// 마케팅팀의 티켓
6400,507,100// 구겨진 연하장
6401,507,100// 야자나무기름
6402,499,100// 기름야자 열매
6411,499,100// 보관용 수박
6412,507,100// 특별한 메달
6415,507,100// 이상한 엠브리오
6416,499,100// 큐펫 배회하는자 교환쿠폰
6417,475,100// 개다래 열매
6418,499,100// A급 코인
6419,499,100// B급 코인
6420,499,100// C급 코인
6421,499,100// D급 코인
6422,499,100// E급 코인
6424,499,100// 영혼의 조각
6425,499,100// 영혼의 증표
6426,499,100// 불량 통조림
6427,507,100// 불량 통조림 자루
6428,507,100// 모험카드A
6429,507,100// 모험카드B
6430,499,100// 그림조각
6431,499,100// 양동이
6432,499,100// 가득찬 양동이
6433,499,100// 청소용 솔
6434,499,100// 수리용 키트
6435,499,100// 신선한 열매
6436,507,100// 바다신의 가호
6440,475,100// 일반 윤활제
6441,475,100// 고급 윤활제
6442,507,100// 문어사냥용 꼬챙이
6443,475,100// 실릿 퐁
6444,475,100// 엠펠리움G
6446,507,100// Green Paper
6447,507,100// Red Paper
6448,507,100// White Paper
6449,507,100// Casual Diary
6450,507,100// Honest Diary
6451,499,100// 미확인 어류
6452,507,100// 에토일의 반지
6456,475,100// 무기 5 제련 보장권
6457,475,100// 방어구 5 제련 보장권
6464,499,100// 증오뭉치
6465,467,100// 가디언 코인
6480,507,100// 포링 은화
6484,475,100// 인챈트 소개장
6488,467,100// 투자 감사 티켓
6489,467,100// 고양이 손 상단 투자증서
6500,499,100// 뾰족한 대나무
6501,499,100// 소금 주머니
6502,499,100// 은 십자가
6503,467,100// 수호물
6504,499,100// 무쇠로 만든 솥
6505,499,100// 정제한 영혼의 뼈다귀
6506,499,100// 공양용 꽃다발
6507,499,100// 악령의 뼈
6519,467,100// 채집된 표본
6520,467,100// 잃어버린 소지품
6536,467,100// 잘 마른 별
6539,499,100// 낡은 라피네의 유품
6540,499,100// 황금의 잎
6541,499,100// 에이반트의 연구자료
6542,467,100// 별무늬 버섯
6543,499,100// 110레벨 돌파 코인
6544,499,100// 120레벨 돌파 코인
6545,499,100// 단단한 머리카락
6546,499,100// 동생의 편지
6547,499,100// 얼룩진 연구서
6548,499,100// 라피네의 날개조각
6549,499,100// 친절이용권
6552,507,100// 우편물 상자
6553,507,100// 나뭇잎다리 재료
6554,507,100// 씨앗 상자
6555,507,100// 생일초
6556,499,100// 고급 헤드폰 교환권
6562,507,100// 작은 쥐꼬리
6563,507,100// 잡초
6566,499,100// 무서운 카카오99 레시피
6567,499,100// 초콜렛 드링크 레시피
//6584,475,100	//
//6585,475,100	//
//6586,507,100	//
6593,499,100// 크리투라 미용쿠폰
6625,467,100// 순도높은 에너지 결정
6654,499,100// 실과 바늘
6655,499,100// 단단한 호박
6656,499,100// 제령 부적
